tweet_id,favorite_count,retweet_count
856330835276025856,0,702
856288084350160898,527,17
856282028240666624,28209,6531
855862651834028034,352,28
855860136149123072,5135,1065
855857698524602368,12074,2188
855851453814013952,46287,18322
855818117272018944,27125,5622
855459453768019968,30541,8517
855245323840757760,0,6206
855138241867124737,0,48
854732716440526848,23353,6354
854482394044301312,30006,7150
854365224396361728,19358,4882
854120357044912130,32732,7810
854010172552949760,16605,3290
853760880890318849,29327,6059
853639147608842240,35791,10595
853299958564483072,15949,3736
852936405516943360,0,2105
852912242202992640,9311,1925
852672615818899456,15343,2261
852553447878664193,16849,3690
852311364735569921,34097,10376
852226086759018497,20595,7136
852189679701164033,11815,1665
851953902622658560,0,10132
851861385021730816,0,23
851591660324737024,16712,3649
851464819735769094,25059,7445
851224888060895234,21360,6027
850753642995093505,32075,9782
850380195714523136,13502,2759
850333567704068097,3547,352
850145622816686080,16893,4041
850019790995546112,21177,5170
849776966551130114,31557,8030
849668094696017920,0,5241
849412302885593088,16442,3321
849336543269576704,11836,1993
849051919805034497,44054,9017
848690551926992896,26152,4569
848324959059550208,25690,4876
848213670039564288,8482,792
848212111729840128,16954,3257
847978865427394560,0,3452
847971574464610304,0,456
847962785489326080,24425,5410
847842811428974592,5692,1425
847617282490613760,7290,451
847606175596138505,19521,3603
847251039262605312,21270,4561
847157206088847362,20775,6216
847116187444137987,22290,3395
846874817362120707,20915,4173
846514051647705089,46509,12336
846505985330044928,14712,3291
846153765933735936,33028,9649
846139713627017216,32173,10500
846042936437604353,16661,3083
845812042753855489,30562,9315
845677943972139009,26174,5092
845397057150107648,7960,1927
845306882940190720,24329,5745
845098359547420673,0,8170
844979544864018432,14228,2754
844973813909606400,15783,3427
844704788403113984,40437,11042
844580511645339650,17203,3356
844223788422217728,14245,2345
843981021012017153,15806,3121
843856843873095681,22366,4940
843604394117681152,17655,2944
843235543001513987,22470,6465
842846295480000512,15920,3846
842765311967449089,7058,1360
842535590457499648,18938,3747
842163532590374912,25633,6206
842115215311396866,14665,3244
841833993020538882,0,16431
841680585030541313,26851,8300
841439858740625411,13232,3927
841320156043304961,20687,5815
841314665196081154,16580,5027
841077006473256960,23994,5689
840761248237133825,0,1882
840728873075638272,0,17374
840698636975636481,187,2
840696689258311684,12899,1050
840632337062862849,9414,1882
840370681858686976,17268,4885
840268004936019968,20228,6153
839990271299457024,14104,2469
839549326359670784,28903,8357
839290600511926273,0,154
839239871831150596,28590,7025
838952994649550848,20613,4266
838921590096166913,11740,2231
838916489579200512,0,36
838831947270979586,0,11893
838561493054533637,11474,1424
838476387338051585,23753,5182
838201503651401729,0,10856
838150277551247360,1770,354
838085839343206401,149,0
838083903487373313,18549,3394
837820167694528512,35957,8464
837482249356513284,4035,476
837471256429613056,13464,2469
837366284874571778,22237,5705
837110210464448512,16864,2579
836989968035819520,13398,2474
836753516572119041,20246,4976
836677758902222849,13281,2393
836648853927522308,0,591
836397794269200385,0,29797
836380477523124226,15501,3187
836260088725786625,22405,4625
836001077879255040,20139,4632
835685285446955009,0,8809
835574547218894849,18758,3908
835536468978302976,0,1840
835309094223372289,0,22703
835297930240217089,17304,3233
835264098648616962,8171,1840
835246439529840640,2204,78
835172783151792128,27559,6201
835152434251116546,23676,3256
834931633769889797,11427,1784
834786237630337024,22302,5918
834574053763584002,14446,2737
834477809192075265,0,11542
834458053273591808,10146,1810
834209720923721728,21747,5174
834167344700198914,16630,3929
834089966724603904,10600,2296
834086379323871233,13792,2398
833863086058651648,14148,2602
833826103416520705,16202,3720
833732339549220864,0,233
833722901757046785,21839,3471
833479644947025920,15689,2240
833124694597443584,21319,5241
832998151111966721,14040,2400
832769181346996225,0,40
832757312314028032,17770,3925
832682457690300417,12539,3177
832645525019123713,3084,563
832636094638288896,16762,3031
832397543355072512,12623,2408
832369877331693569,18135,3452
832273440279240704,11947,2525
832215909146226688,0,6707
832215726631055365,0,10172
832088576586297345,70,2
832040443403784192,0,10543
832032802820481025,18839,5036
831939777352105988,25379,6653
831926988323639298,361,35
831911600680497154,29242,7066
831670449226514432,11047,1965
831650051525054464,7594,2105
831552930092285952,9527,2487
831322785565769729,9722,1658
831315979191906304,6898,1211
831309418084069378,12406,2643
831262627380748289,12601,2227
830956169170665475,8441,1620
830583320585068544,70832,18277
830173239259324417,0,6196
830097400375152640,10396,3264
829878982036299777,0,5450
829861396166877184,12943,2127
829501995190984704,33630,11542
829449946868879360,11084,2205
829374341691346946,36674,10132
829141528400556032,25974,8059
829011960981237760,56146,17639
828801551087042563,0,3699
828770345708580865,27099,6388
828708714936930305,38832,12215
828650029636317184,10073,1467
828409743546925057,6669,1251
828408677031882754,8113,1396
828381636999917570,13395,2418
828376505180889089,7831,1155
828372645993398273,13285,3198
828361771580813312,2326,184
828046555563323392,12469,3113
828011680017821696,10999,2338
827933404142436356,21370,5689
827653905312006145,16370,3273
827600520311402496,7860,1032
827324948884643840,16847,3338
827199976799354881,11227,2443
826958653328592898,22895,5450
826848821049180160,38730,11136
826615380357632002,0,4303
826598799820865537,5428,277
826598365270007810,10702,2556
826476773533745153,19561,4572
